NB,Kí_hiệu,Tide,pH,DO,TSS,NH4,PO4,As,Pb,Dau_mo,Coliform
NB26,T02/24,ĐT,8.01,7.64,12.1,0.098,0.052,,,0.35,200.0
NB26,T4/24,CT,7.46,7.07,18.3,0.083,0.046,,,0.34,600.0
NB26,T4/24,ĐT,7.87,7.0,12.7,0.055,0.044,,,0.46,210.0
NB26,T6/24,CT,7.66,6.37,19.6,0.16,0.072,,,0.38,680.0
NB26,T6/24,ĐT,7.47,5.83,13.5,0.093,0.063,,,0.37,240.0
NB26,T8/24,CT,7.84,6.05,17.3,0.152,0.081,,,0.4,700.0
NB26,T8/24,ĐT,7.85,6.09,15.2,0.095,0.073,,,0.39,260.0
NB26,T10/24,CT,7.76,6.45,18.8,0.174,0.065,,,0.41,940.0
NB26,T10/24,ĐT,7.82,6.49,14.3,0.094,0.062,,,0.38,430.0
NB26,T11/24,CT,7.78,6.86,20.6,0.13,0.055,,,0.45,630.0
NB26,T11/24,ĐT,7.81,6.89,16.3,0.093,0.054,,,0.39,220.0
NB27,T02/24,CT,8.11,7.39,15.2,0.11,0.06,,,0.37,560.0
NB27,T02/24,ĐT,8.27,7.71,9.6,0.07,0.057,,,0.35,200.0
NB27,T4/24,CT,8.04,6.24,16.1,0.099,0.055,,,0.4,480.0
NB27,T4/24,ĐT,7.68,7.11,12.0,0.069,0.034,,,0.46,270.0
NB27,T6/24,CT,8.08,6.29,16.4,0.12,0.069,,,0.39,610.0
NB27,T6/24,ĐT,7.54,6.31,10.3,0.078,0.061,,,0.36,170.0
NB27,T8/24,CT,8.06,6.18,18.4,0.111,0.077,,,0.38,580.0
NB27,T8/24,ĐT,8.06,6.25,11.7,0.077,0.071,,,0.36,140.0
NB27,T10/24,CT,8.01,6.26,17.2,0.124,0.067,,,0.39,490.0
NB27,T10/24,ĐT,8.04,6.29,12.3,0.08,0.058,,,0.35,230.0
NB27,T11/24,CT,8.05,7.08,19.4,0.12,0.05,,,0.4,350.0
NB27,T11/24,ĐT,8.02,7.03,17.2,0.094,0.045,,,0.36,110.0
NB28,T02/24,CT,8.04,7.31,14.7,0.092,0.056,,,0.36,610.0
NB28,T02/24,ĐT,8.03,7.65,10.6,0.059,0.049,,,0.33,370.0
NB28,T4/24,CT,7.23,7.59,16.4,0.087,0.04,,,0.5,680.0
NB28,T4/24,ĐT,7.92,6.3,11.2,0.06,0.034,,,0.4,450.0
NB28,T6/24,CT,7.81,6.1,15.6,0.087,0.061,,,0.38,780.0
NB28,T6/24,ĐT,8.04,6.05,9.8,0.052,0.046,,,0.37,490.0
NB28,T8/24,CT,8.05,6.27,19.4,0.082,0.08,,,0.37,790.0
NB28,T8/24,ĐT,8.02,6.02,10.8,0.049,0.055,,,0.35,480.0
NB28,T10/24,CT,8.01,6.35,18.7,0.058,0.086,,,0.4,630.0
NB28,T10/24,ĐT,8.03,6.39,11.5,0.043,0.068,,,0.37,310.0
NB28,T11/24,CT,8.03,7.02,20.4,0.05,0.045,,,0.39,780.0
NB28,T11/24,ĐT,8.07,7.11,13.6,0.037,0.044,,,0.35,360.0
